etniciteit, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 
irakees, afghaan, palestijn, plunderaar, moslimextremist, tsjetsjeen, arrestant, aanslagpleger, gijzelnemer, koerd, pakistaan, libanees, somalier, terrorist, algerijn, schutter, gijzelaar, kolonist, sluipschutter, iranier, politieman, syrier, egyptenaar, talibanstrijder, zelfmoordenaar, indonesier, kasab, zelfmoordterrorist, jemeniet, opstandeling, terroristenleider, bomexpert, betoger, politieagent, jihadist, terreurverdachte, dorpeling, legerofficier, pedofiel, gedetineerde, libier, medegevangene, asielzoeker, marinier, drugssmokkelaar, bolletjesslikker, gevangene, cipier, talibanleider, congolees, terreurleider, scherpschutter, politieofficier, agent, munir, drugskoerier, strijder, politieagente, nigeriaan, israelier, smokkelaar, drugsdealer, veiligheidsagent, overvaller, militieleider, kosovaar, arabier, marokkaan, rekruut, hongerstaker, shahzad, topterrorist, zedendelinquent, demonstrant, jordanier, brandstichter, verkrachter, samast, mensenrechtenactivist, mensensmokkelaar, taxichauffeur, deserteur, krijgsheer, saudier, bommenmaker, antilliaan, rabia, talibancommandant, autodief, veiligheidsbeambte, onderofficier, abdulmutallab, vrachtwagenchauffeur, buurtgenoot, straatrover, omstander, jongeman, servier, maastrichtenaar, asielzoekster, inbreker, 
marokkaan, turk, surinamer, antilliaan, algerijn, egyptenaar, arabier, iranier, tunesier, afghaan, pedofiel, pakistaan, griek, moslimextremist, taxichauffeur, syrier, tasjesdief, nigeriaan, buitenlander, hooligan, koerd, voetbalsupporter, irakees, aziaat, buschauffeur, pizzakoerier, terrorist, drugsdealer, veelpleger, kickbokser, jongen, rotterdammer, maastrichtenaar, voetbalfan, jongeman, marktkoopman, tsjetsjeen, scholier, jood, skinhead, molukker, relschopper, imam, moslim, jihadist, moslimvrouw, brahim, nederlander, bosnier, palestijn, knul, ghanees, senegalees, fietsendief, bouwvakker, moslimfundamentalist, smokkelaar, winkelbediende, parijzenaar, bekeerling, benallal, hagenees, amersfoorter, zakkenroller, hoerenloper, politieagent, vrachtwagenchauffeur, tiener, somalier, bolletjesslikker, politieman, drugssmokkelaar, immigrant, rachid, gymnasiast, tilburger, verkrachter, extremist, indonesier, autodief, roemeen, antwerpenaar, snelheidsduivel, londenaar, israelier, utrechter, vechtersbaas, terreurverdachte, godsdienstleraar, arrestant, hangjongere, youssef, amsterdammer, welzijnswerker, aanslagpleger, bilal, dorpeling, zwartrijder, vandaal, truckchauffeur, kleermaker, 
nederlanders, buitenlanders, turken, mensen, jongeren, vakantiegangers, eilandbewoners, malinezen, belgen, fransen, chinezen, kampeerders, plussers, nigerianen, hongaren, migranten, surinamers, landgenoten, amerikanen, nieuwkomers, deelnemers, huishoudens, toeristen, mexicanen, egyptenaren, afghanen, britten, mannen, amsterdammers, spanjaarden, kenianen, vrouwen, ijslanders, inwoners, wintersporters, antwerpenaren, respondenten, italianen, duitsers, brazilianen, hagenaars, japanners, immigranten, moslims, europeanen, zestigplussers, pakistanen, schakers, tieners, roemenen, emigranten, vluchtelingen, wijnboeren, stemmers, vlamingen, vakantievierders, gezinnen, denen, miljonairs, cubanen, zeeuwen, stadsbewoners, scholieren, marokkanen, venezolanen, vijftigplussers, voetbalfans, irakezen, kerkgangers, reizigers, voetballiefhebbers, oostenrijkers, thuisblijvers, voetballers, vrijgezellen, allochtonen, zimbabwanen, schoolkinderen, utrechters, bierdrinkers, leidenaren, kijkers, kiezers, rokers, burgers, westerlingen, ivorianen, stedelingen, ouderen, twitteraars, colombianen, panelleden, noren, stoppers, jongelui, jongens, moskovieten, automobilisten, libanezen, wielerliefhebbers, lezers, 
duitsers, fransen, italianen, denen, spanjaarden, belgen, engelsen, portugezen, oostenrijkers, hongaren, noren, tsjechen, britten, ieren, turken, japanners, russen, finnen, slovenen, ijslanders, argentijnen, slowaken, brazilianen, europeanen, amerikanen, canadezen, aziaten, catalanen, mexicanen, grieken, schotten, geallieerden, noorderlingen, chinezen, roemenen, litouwers, zwitsers, kroaten, luxemburgers, vlamingen, hollanders, friezen, esten, groningers, egyptenaren, bulgaren, romeinen, arabieren, joden, londenaren, eilandbewoners, nederlanders, amsterdammers, chilenen, zeeuwen, oekrainers, limburgers, afrikanen, buitenlanders, basken, ottomanen, colombianen, koerden, sovjets, bezetters, ivorianen, aussies, polen, afghanen, cyprioten, australiers, albanezen, madrilenen, koreanen, kosovaren, leidenaren, berlijners, nigerianen, walen, tsjetsjenen, brabanders, zuiderlingen, vietnamezen, rotterdammers, parijzenaars, hoofdstedelingen, malinezen, brusselaars, pakistanen, cubanen, scandinaviers, welshmen, germanen, kenianen, venezolanen, algerijnen, communisten, perzen, laatsten, milanezen, irakezen, 
belgen, denen, fransen, italianen, duitsers, spanjaarden, oostenrijkers, noren, portugezen, engelsen, vlamingen, tsjechen, finnen, hongaren, slovenen, britten, ijslanders, slowaken, ieren, turken, friezen, brazilianen, roemenen, luxemburgers, catalanen, argentijnen, walen, zeeuwen, noorderlingen, nederlanders, schotten, amsterdammers, litouwers, canadezen, limburgers, zwitsers, brusselaars, groningers, japanners, grieken, brabanders, bulgaren, mexicanen, scandinaviers, rotterdammers, russen, hollanders, londenaren, esten, madrilenen, eilandbewoners, franstaligen, eindhovenaren, aussies, utrechters, aziaten, achterhoekers, tukkers, oekrainers, volendammers, hagenaars, australiers, chinezen, buitenlanders, hoofdstedelingen, alkmaarders, haantjes, tilburgers, europeanen, ivorianen, arnhemmers, nigerianen, amerikanen, antwerpenaren, nijmegenaren, kroaten, feyenoorders, renners, colombianen, zwollenaren, milanezen, leidenaren, jonkies, ajacieden, algerijnen, basken, thuisblijvers, ploegen, hockeyers, monegasken, coureurs, spartanen, oranjevrouwen, landgenoten, wijnboeren, ghanezen, laatsten, wielrenners, kenianen, egyptenaren, wielerfans, 
polen, hongarije, duitsland, roemeni, bulgarije, zweden, tsjechi, oostenrijk, itali, slowakije, frankrijk, denemarken, spanje, kroati, noorwegen, belgi, estland, zwitserland, finland, albani, sloveni, litouwen, letland, portugal, turkije, macedoni, argentini, ijsland, rusland, brazili, roemenie, ierland, moldavi, engeland, kazachstan, algerije, azerbeidzjan, luxemburg, nederland, griekenland, duitsers, bulgaren, tsjechoslowakije, roemenen, marokko, hongaren, schotland, europa, turken, ivoorkust, tsjechie, montenegro, georgi, warschau, malta, tsjecho, kameroen, cataloni, servi, cyprus, oekraine, japan, balkanlanden, moldavie, ghana, buurlanden, silezi, ecuador, uruguay, liechtenstein, bosni, canada, albanie, transsylvani, tunesi, frankijk, indonesi, tsjechen, andorra, chili, armenie, pruisen, colombia, angola, slowaken, slovenie, buurland, oezbekistan, egypte, armeni, russen, gastland, sudetenland, europeanen, balten, paraguay, buitenlanders, landen, namibi, fransen, azerbajdzjan, 
surinamers, hindoestanen, antillianen, autochtonen, marokkanen, ghanezen, molukkers, turken, allochtonen, nederlanders, nigerianen, creolen, arubanen, autochtone, moslimjongeren, emigranten, javanen, somaliers, medelanders, indiers, hongaren, kleurlingen, zestigplussers, berbers, kaapverdianen, westerlingen, vlamingen, analfabeten, buitenlanders, malinezen, pakistanen, europeanen, arabieren, aziaten, zwarten, zuiderlingen, zeeuwen, blanken, islamieten, hagenezen, litouwers, afrikaners, zigeuners, hoogopgeleiden, roemenen, meelopers, bulgaren, vijftigplussers, egyptenaren, remigranten, stadsbewoners, eilandbewoners, stedelingen, algerijnen, plattelandsbewoners, moslims, christenen, allochtone, indonesiers, immigranten, boefjes, bekeerlingen, gastarbeiders, verzetsmensen, joegoslaven, kerkleden, weduwen, plattelanders, moslimvrouwen, jongeren, hindostanen, katholieken, dominees, afrikanen, joden, moslimmeisjes, twintigers, rijksgenoten, migrantenvrouwen, kroaten, afghanen, bruiden, moslimimmigranten, jongvolwassenen, crimineeltjes, protestanten, armeniers, migrantenjongeren, imams, calvinisten, academici, wijkbewoners, leeftijdgenoten, drugsgebruikers, kerkgangers, ivorianen, tienermoeders, doopsgezinden, congolezen, expats, libanezen, 
turken, koerden, hongaren, duitsers, moslims, roemenen, arabieren, russen, joden, fransen, egyptenaren, buitenlanders, nederlanders, christenen, denen, bulgaren, britten, spanjaarden, marokkanen, belgen, surinamers, kroaten, amerikanen, albanezen, kosovaren, italianen, afghanen, europeanen, pakistanen, palestijnen, slovenen, islamisten, cyprioten, mexicanen, zuiderlingen, ijslanders, immigranten, oostenrijkers, chinezen, tsjechen, grieken, portugezen, nationalisten, irakezen, vlamingen, eilandbewoners, extremisten, islamieten, ieren, migranten, molukkers, malinezen, sjiieten, moslimbroeders, kolonisten, litouwers, jihadisten, soennieten, libanezen, fundamentalisten, salafisten, slowaken, basken, tsjetsjenen, nigerianen, vluchtelingen, bezetters, katholieken, japanners, engelsen, algerijnen, noorderlingen, amsterdammers, brazilianen, protestanten, aziaten, noren, ivorianen, tibetanen, argentijnen, finnen, macedoniers, westerlingen, imams, gelovigen, communisten, orthodoxen, catalanen, buurlanden, montenegrijnen, colombianen, venezolanen, zeeuwen, sunnieten, tamils, schotten, franstaligen, terroristen, djihadisten, moslimjongeren, strijders, 
syriers, libanezen, tsjetsjenen, iraniers, pakistanen, israeliers, saoediers, moslimstrijders, georgiers, indonesiers, irakezen, egyptenaren, macedoniers, militieleden, jemenieten, saudiers, tamils, afghanen, stamleden, guerrillastrijders, sunnieten, liberianen, jordaniers, moslimbroeders, congolezen, moslimfundamentalisten, kosovaren, ethiopiers, nepalezen, oegandezen, islamisten, maoisten, sjiieten, hamasleiders, rebellenleiders, venezolanen, vredesactivisten, koerden, opposanten, soennieten, moslimrebellen, talibanstrijders, rwandezen, colombianen, arabieren, somaliers, chilenen, madurezen, indiers, atjeeers, serviers, ivorianen, militanten, deserteurs, gijzelnemers, muiters, tibetanen, algerijnen, peruanen, moslimextremisten, coupplegers, palestijnen, zuiderlingen, regeringssoldaten, nigerianen, bosniers, opstandelingen, senegalezen, oppositieleden, druzen, cubanen, albanezen, krijgsheren, paramilitairen, regeringsmilitairen, extremisten, moslimmilitanten, dorpelingen, moslimleiders, ballingen, birmezen, moskeegangers, sjeiks, rebellen, bendeleiders, haitianen, mexicanen, overlopers, pathanen, oezbeken, basken, bedoeienen, talibaanstrijders, hongerstakers, fundamentalisten, talibaan, oppositieleiders, zionisten, activisten, mullahs, islamieten, 
antillianen, surinamers, allochtonen, arubanen, marokkanen, probleemjongeren, autochtonen, importbruiden, molukkers, tienermoeders, moslimjongeren, hangjongeren, migrantenvrouwen, risicojongeren, hindoestanen, vreemdelingen, woonwagenbewoners, veelplegers, somaliers, kansarmen, illegalen, allochtone, jeugdigen, huwelijksmigranten, drugsgebruikers, oudkomers, buitenlanders, boefjes, uitkeringstrekkers, jongeren, lastpakken, overlastgevers, analfabeten, bulgaren, remigranten, crimineeltjes, minners, migrantenkinderen, eenoudergezinnen, probleemkinderen, hoogopgeleiden, immigranten, moslimmeisjes, autochtone, jeugdgroepen, asielzoekers, rijksgenoten, straatterroristen, loverboys, probleemgezinnen, spijbelaars, alleenstaanden, ghanezen, arbeidsmigranten, uitkeringsgerechtigden, minderjarigen, jongvolwassenen, drugsrunners, turken, roemenen, verslaafden, draaideurcriminelen, moslimvrouwen, zestigplussers, imams, migranten, vijftigplussers, raddraaiers, plussers, achterstandskinderen, delinquenten, nigerianen, voetbalhooligans, kennismigranten, basisschoolleerlingen, achterstandsleerlingen, zelforganisaties, zedendelinquenten, kaapverdianen, rotjochies, prostituees, asielkinderen, hoerenlopers, wijkbewoners, migrantenjongeren, achterstandswijken, drugsverslaafden, bijstandsgerechtigden, drugskoeriers, probleemdrinkers, buurtvaders, medelanders, weigeraars, pedofielen, straatcoaches, moslimimmigranten, hangjeugd, inburgeraars, basisschoolkinderen, emigranten, jeugdbendes, 
somaliers, iraniers, nigerianen, indiers, congolezen, ghanezen, indonesiers, pakistanen, bosniers, libanezen, srilankanen, oegandezen, algerijnen, molukkers, haitianen, madurezen, tamils, liberianen, hindoestanen, angolezen, saoediers, ethiopiers, jemenieten, georgiers, rwandezen, senegalezen, birmezen, mozambikanen, syriers, uitgeprocedeerden, nepalezen, bengalezen, vietnamezen, asielzoeksters, colombianen, armeniers, irakezen, saudiers, tsjetsjenen, zimbabwanen, malinezen, antillianen, surinamers, hongerstakers, stamleden, dayaks, curacaoenaars, illegalen, afghanen, ontheemden, javanen, moslimstrijders, oeigoeren, oezbeken, bootvluchtelingen, zigeuners, joegoslaven, kosovaren, gelukszoekers, eritreeers, hmong, remigranten, tibetanen, mensensmokkelaars, zuiderlingen, eritreers, islamieten, macedoniers, sudanezen, albanezen, rijksgenoten, emigranten, oekraieners, westerlingen, smokkelaars, ugandezen, ivorianen, arubanen, litouwers, jordaniers, woonwagenbewoners, venezolanen, bedoeienen, cambodjanen, dorpelingen, drugssmokkelaars, ecuadorianen, pakistani, koeweiters, buitenlanders, dienstweigeraars, migranten, repatrianten, burmezen, aborigines, weigeraars, deserteurs, taiwanezen, kaapverdianen, egyptenaren, moslimmannen, 
afghanen, irakezen, pakistanen, libanezen, koerden, talibanstrijders, tsjetsjenen, amerikanen, kosovaren, iraniers, palestijnen, kenianen, oegandezen, congolezen, nigerianen, opstandelingen, egyptenaren, tamils, militairen, gazanen, tibetanen, strijders, nepalezen, malinezen, dorpelingen, reservisten, albanezen, ontheemden, indonesiers, cubanen, zimbabwanen, colombianen, jemenieten, stamleden, mexicanen, syriers, westerlingen, guerrillastrijders, birmezen, talibaan, russen, eilandbewoners, coalitietroepen, blauwhelmen, rebellen, militanten, moslimstrijders, turken, militieleden, rekruten, dienstplichtigen, soldaten, ivorianen, gijzelaars, venezolanen, liberianen, chilenen, buitenlanders, sjiieten, jihadisten, arabieren, israeliers, terroristen, manschappen, deserteurs, peruanen, gegijzelden, soennieten, extremisten, hongerstakers, taliban, japanners, overlopers, moslimextremisten, gijzelnemers, canadezen, saoediers, burgers, politiemensen, rwandezen, talibaanstrijders, veteranen, krijgsheren, commandanten, zuiderlingen, regeringssoldaten, rebellenleiders, mozambikanen, britten, nederlanders, serviers, hulpverleners, indiers, separatisten, chinezen, sunnieten, senegalezen, achterblijvers, generaals, migranten, dorpsbewoners, 
irakezen, afghanen, pakistanen, libanezen, tsjetsjenen, talibanstrijders, iraniers, congolezen, egyptenaren, palestijnen, kosovaren, koerden, gazanen, amerikanen, tamils, ontheemden, nigerianen, jemenieten, indonesiers, colombianen, zimbabwanen, oegandezen, syriers, nepalezen, birmezen, opstandelingen, albanezen, mexicanen, cubanen, dorpelingen, gijzelaars, strijders, israeliers, liberianen, chilenen, stamleden, talibaanstrijders, militieleden, moslimstrijders, militanten, kenianen, venezolanen, guerrillastrijders, moslimextremisten, militairen, terroristen, tibetanen, reservisten, rwandezen, ivorianen, gegijzelden, gijzelnemers, gevangenen, deserteurs, peruanen, hongerstakers, sjiieten, arabieren, blauwhelmen, cambodjanen, serviers, malinezen, rebellen, coalitietroepen, soldaten, eilandbewoners, saoediers, buitenlanders, talibaan, westerlingen, turken, extremisten, mozambikanen, jihadisten, zimbabweanen, regeringssoldaten, rekruten, russen, madurezen, bolivianen, overlopers, soennieten, kampbewoners, migranten, vluchtelingen, betogers, dienstplichtigen, taiwanezen, zelfmoordenaars, algerijnen, angolezen, somaliers, illegalen, senegalezen, dutchbatters, gedetineerden, sunnieten, kolonisten, rebellenleiders, japanners, oeigoeren, 
